LinkID,MediaID,OwnerType,OwnerID,IsPrimary,Include1,Include2,Include3,Include4,SortOrder,RectLeft,RectTop,RectRight,RectBottom,Comments,UTCModDate
264,39,4,386,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
265,40,4,389,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
266,38,4,390,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
267,66,4,391,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
268,39,4,395,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
269,40,4,398,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
270,38,4,399,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
271,66,4,407,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
272,38,4,408,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
273,38,4,409,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
274,40,4,410,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
275,67,4,412,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
276,67,2,488,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
277,68,4,413,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
278,68,2,489,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
279,69,4,414,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
280,69,2,490,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
281,70,4,416,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
282,68,0,371,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
283,67,0,371,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
284,69,0,371,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
285,70,0,371,0,0,0,0,0,0,0,0,0,0,,45165.7132791204
286,40,4,417,0,0,0,0,0,0,0,0,0,0,,45165.7132796181
287,40,4,418,0,0,0,0,0,0,0,0,0,0,,45165.7132796181
288,40,4,419,0,0,0,0,0,0,0,0,0,0,,45165.7132796181
289,36,4,420,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
290,71,4,421,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
291,72,4,422,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
292,49,4,423,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
293,47,4,426,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
294,36,4,427,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
295,47,4,428,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
296,71,4,429,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
297,72,4,430,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
298,49,4,431,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
299,49,4,434,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
300,72,4,437,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
301,71,4,438,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
302,71,4,439,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
303,47,4,440,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
304,36,4,441,0,0,0,0,0,0,0,0,0,0,,45165.7132899421
305,71,4,442,0,0,0,0,0,0,0,0,0,0,,45165.7132906713
306,72,4,443,0,0,0,0,0,0,0,0,0,0,,45165.7132906713
307,71,4,445,0,0,0,0,0,0,0,0,0,0,,45165.7132908449
308,72,4,446,0,0,0,0,0,0,0,0,0,0,,45165.7132908449
309,72,4,450,0,0,0,0,0,0,0,0,0,0,,45165.7132908565
310,71,4,451,0,0,0,0,0,0,0,0,0,0,,45165.7132908565
311,71,4,452,0,0,0,0,0,0,0,0,0,0,,45165.7132908565
312,36,4,453,0,0,0,0,0,0,0,0,0,0,,45165.7132915741
313,53,4,454,0,0,0,0,0,0,0,0,0,0,,45165.7132915741
314,36,4,455,0,0,0,0,0,0,0,0,0,0,,45165.7132915741
315,53,4,456,0,0,0,0,0,0,0,0,0,0,,45165.7132915741
316,53,4,457,0,0,0,0,0,0,0,0,0,0,,45165.7132917593
317,36,4,458,0,0,0,0,0,0,0,0,0,0,,45165.7132917593
318,36,4,459,0,0,0,0,0,0,0,0,0,0,,45165.7132928588
319,52,4,460,0,0,0,0,0,0,0,0,0,0,,45165.7132928588
320,36,4,462,0,0,0,0,0,0,0,0,0,0,,45165.7132928588
321,52,4,463,0,0,0,0,0,0,0,0,0,0,,45165.7132928588
322,52,4,465,0,0,0,0,0,0,0,0,0,0,,45165.7132928588
323,47,4,466,0,0,0,0,0,0,0,0,0,0,,45165.7132928588
324,25,4,467,0,0,0,0,0,0,0,0,0,0,,45165.7132928588
325,73,4,468,0,0,0,0,0,0,0,0,0,0,,45165.7132928588
326,73,4,469,0,0,0,0,0,0,0,0,0,0,,45165.7132928588
327,73,4,470,0,0,0,0,0,0,0,0,0,0,,45165.7132928588
328,25,4,471,0,0,0,0,0,0,0,0,0,0,,45165.7132928588
329,47,4,472,0,0,0,0,0,0,0,0,0,0,,45165.7132928588
330,36,4,473,0,0,0,0,0,0,0,0,0,0,,45165.7132928588
331,73,4,474,0,0,0,0,0,0,0,0,0,0,,45165.7132932176
332,73,4,475,0,0,0,0,0,0,0,0,0,0,,45165.7132932176
333,73,4,476,0,0,0,0,0,0,0,0,0,0,,45165.7132932176
334,73,4,477,0,0,0,0,0,0,0,0,0,0,,45165.7132932176
335,36,4,478,0,0,0,0,0,0,0,0,0,0,,45165.7132939352
336,25,4,479,0,0,0,0,0,0,0,0,0,0,,45165.7132939352
337,47,4,480,0,0,0,0,0,0,0,0,0,0,,45165.7132939352
338,47,4,481,0,0,0,0,0,0,0,0,0,0,,45165.7132939352
339,25,4,482,0,0,0,0,0,0,0,0,0,0,,45165.7132939352
340,25,4,483,0,0,0,0,0,0,0,0,0,0,,45165.7132939352
341,47,4,484,0,0,0,0,0,0,0,0,0,0,,45165.7132939352
342,36,4,485,0,0,0,0,0,0,0,0,0,0,,45165.7132939352
343,36,4,486,0,0,0,0,0,0,0,0,0,0,,45165.7132939352
